ciudad,current,real_feal,air_quality,pollen,uv_index,precipitation,timestamp
"Tlajomulco de Zúñiga, Jalisco",82 °F,80°,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:44:00
"Guadalajara, Jalisco",82 °F,81°,51,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:45:44
"Zapopan, Jalisco",80 °F,79°,48,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:46:03
"Tlaquepaque, Jalisco",81 °F,80°,51,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:46:16
"Tonalá, Jalisco",83 °F,83°,52,moderate,10,Expect dry conditions for the next 6 hours.,2024-03-17 11:46:37
"Tlajomulco de Zúñiga, Jalisco",83 °F,80°,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:46:58
"Guadalajara, Jalisco",89 °F,85°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 15:57:59
"Guadalajara, Jalisco",89 °F,85°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 15:58:47
"Zapopan, Jalisco",85 °F,82°,45,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 15:59:00
"Tlaquepaque, Jalisco",87 °F,84°,49,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 15:59:16
"Tonalá, Jalisco",88 °F,88°,50,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 15:59:29
"Tlajomulco de Zúñiga, Jalisco",90 °F,86°,41,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 15:59:45
"Guadalajara, Jalisco",89 °F,85°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:00:49
"Zapopan, Jalisco",85 °F,82°,45,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:01:00
"Tlaquepaque, Jalisco",87 °F,84°,49,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:01:10
"Tonalá, Jalisco",88 °F,88°,50,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:01:20
"Tlajomulco de Zúñiga, Jalisco",90 °F,86°,41,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:01:30
"Guadalajara, Jalisco, Mexico Weather Conditions",89 °F,85°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:02:41
"Zapopan, Jalisco, Mexico Weather Conditions",85 °F,82°,45,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:03:13
"Tlaquepaque, Jalisco, Mexico Weather Conditions",87 °F,84°,49,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:03:29
"Tonalá, Jalisco, Mexico Weather Conditions",88 °F,88°,50,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:03:43
"Tlajomulco de Zúñiga, Jalisco, Mexico Weather Conditions",90 °F,86°,41,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:03:58
"Guadalajara, Jalisco",89 °F,85°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:16:10
"Zapopan, Jalisco",85 °F,82°,46,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 16:16:41
"Guadalajara, Jalisco",66 °F,66°,51,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 23:43:31
"Zapopan, Jalisco",70 °F,68°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 23:43:44
"Tlaquepaque, Jalisco",68 °F,68°,51,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 23:43:55
"Tonalá, Jalisco",66 °F,66°,52,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 23:44:10
"Tlajomulco de Zúñiga, Jalisco",65 °F,65°,43,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-17 23:44:21
"Guadalajara, Jalisco",90 °F,90°,47,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:24:52
"Zapopan, Jalisco",85 °F,82°,44,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:25:05
"Tlaquepaque, Jalisco",87 °F,84°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:25:19
"Tonalá, Jalisco",90 °F,90°,49,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:25:35
"Guadalajara, Jalisco",90 °F,90°,47,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:27:36
"Zapopan, Jalisco",85 °F,82°,44,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:27:46
"Tlaquepaque, Jalisco",88 °F,84°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:27:54
"Tonalá, Jalisco",90 °F,90°,49,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:28:03
"Tlajomulco de Zúñiga, Jalisco",90 °F,86°,40,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:28:12
"Guadalajara, Jalisco",91 °F,91°,47,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:44:27
"Zapopan, Jalisco",85 °F,82°,44,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:44:39
"Tlaquepaque, Jalisco",88 °F,84°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:44:54
"Tonalá, Jalisco",91 °F,91°,49,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:45:08
"Tlajomulco de Zúñiga, Jalisco",91 °F,86°,40,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:45:19
"Guadalajara, Jalisco",91 °F,91°,47,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:47:17
"Zapopan, Jalisco",85 °F,82°,44,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:47:26
"Tlaquepaque, Jalisco",88 °F,84°,48,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:47:35
"Tonalá, Jalisco",91 °F,91°,49,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:47:44
"Tlajomulco de Zúñiga, Jalisco",90 °F,86°,40,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-18 15:47:52
